parent_theme_id,parent_theme_label,candidate_term,candidate_score,candidate_source,candidate_term_norm,pilot_docfreq,stem_score,name_noise_flag,artifact_flag,evidence_exists,vetting_status,vetting_note_draft,evidence_filename,evidence_page_in_pdf,evidence_section_guess,evidence_excerpt_snippet
TH062,Partnerships Sustainable Development,partnership initiatives,6.008773517335295,pilot_logodds_distinctive_ngram,partnership initiatives,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for partnerships sustainable development; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,41,Discussion,"ummit for Sustainable Development 23 Partnerships Recognition of the vital role of partnerships was a key achievement of the WSSD. Some 220 **partnership initiatives** were launched during the summit.2 If the R ... io Earth Summit gave us the idea of involving stakeholders to deliver better informed decisions, then Johannesburg recognized that stakeholders should be involved in the practical delivery of the global agreeme"
TH075,Institutionalism Organizational,institutionalist approaches,5.9773795011418365,pilot_logodds_distinctive_ngram,institutionalist approaches,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutionalism organizational; retained after checking for contextual equivalence and excluding systematic noise.,Assessing the effectiveness of intergovernmental organisations in international environmental politics.pdf,2,Unspecified,"state-centric in their theoretical premises and view intergovernmental organisations, at best, as structures constraining state behaviour. **Institutionalist approaches** are more perceptive to the possibiliti ... es of intergovernmental environmental co-operation and to a possible role that international organisations might play. Yet in its quest to explain when and how institutions matter, neoinstitutionalists have rem"
TH042,Treaty Secretariats,institutionalist research,5.964131725239889,pilot_logodds_distinctive_ngram,institutionalist research,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for treaty secretariats; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,4,Unspecified,"n the political world system and, like other externalities, can be treated as givens while analyzing the political processes among nations. **Institutionalist research**, on the other hand, has tremendously ad ... vanced our understanding of international environmental cooperation and broadened our empirical knowledge through numerous case studies. This holds in particular for the proliªc branch of regime analysis. These"
TH080,Transnational Rules Governance,harvard law,5.955665497074854,pilot_logodds_distinctive_ngram,harvard law,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for transnational rules governance; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,26,Introduction,". In International Environmental Treaty Making, edited by Lawrence E. Susskind, Eric J. Dolin and J. William Breslin, 27–51. Cambridge, MA: **Harvard Law** School. _______. 1994. International Environmental Tre ... aty Secretariats: Stage-Hands or Actors? In Green Globe Yearbook of International Co-operation on Environment and Development 1994, edited by Helge Ole Bergesen and Georg Parmann, 17–29. Oxford: Oxford Universi"
TH024,Intergenerational Equity,make informed,5.949077549443939,pilot_logodds_distinctive_ngram,make informed,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for intergenerational equity; retained after checking for contextual equivalence and excluding systematic noise.,Critical Choices_The United Nations_Networks and the Future of Global Governance.pdf,40,Results,"cymakers to respond to the changed condition of politics. The time that policymakers need to process, structure, and use knowledge so as to **make informed** decisions has become a scarce commodity, as S?4~h me ... dia coverage of events from all around the world exerts unrelenting pressure to act, or rather react, quickly. The result is ""instant politics,"" where far-reaching decisions are often made on the first availabl"
TH024,Intergenerational Equity,public goods provided,5.949077549443939,pilot_logodds_distinctive_ngram,public goods provided,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for intergenerational equity; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,196,Unspecified,"Agriculture: Improving Governance for Food Security and Agriculture 181 the **public goods provided** to rural versus urban areas. The JPOI that emerged from the 2002 WSSD provides a strong framework for insisting upon the delivery of these rural public goods. Questions to be addressed • In developing countries, how much government spending goes towards the creation of public goods in rural areas? Too often data are"
TH024,Intergenerational Equity,make informed decisions,5.949077549443939,pilot_logodds_distinctive_ngram,make informed decisions,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for intergenerational equity; retained after checking for contextual equivalence and excluding systematic noise.,Critical Choices_The United Nations_Networks and the Future of Global Governance.pdf,40,Results,"cymakers to respond to the changed condition of politics. The time that policymakers need to process, structure, and use knowledge so as to **make informed decisions** has become a scarce commodity, as S?4~h me ... dia coverage of events from all around the world exerts unrelenting pressure to act, or rather react, quickly. The result is ""instant politics,"" where far-reaching decisions are often made on the first availabl"
TH024,Intergenerational Equity,global publicpolicy,5.949077549443939,pilot_logodds_distinctive_ngram,global publicpolicy,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for intergenerational equity; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,82,Unspecified,"structure built on a multi-institutional regime capable of drawing in a wide array of underlying disciplines through governments, NGOs and **global publicpolicy** networks. The core governance functions requir ... ed under these conditions to a great extent mirror the ones identified in 1972 and include: • provision of adequate information and analysis to characterize problems, track trends and identify interests, as wel"
TH048,Legal Authority,institutional memory,5.939840242348429,pilot_logodds_distinctive_ngram,institutional memory,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for legal authority; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,9,Unspecified,"authority at the domestic level also apply to intergovernmental bureaucracies. Environmental treaty secretariats, for instance, embody the **institutional memory** of the regime. Speciªcally, they possess expe ... rt knowledge of various categories, all of which are relevant to regime dynamics. They bear technical and scientiªc knowledge on the policy problem, administrative and procedural knowledge—which to a signiªcant"
TH068,Accountability International Level,making governments accountable,5.911576188489201,pilot_logodds_distinctive_ngram,making governments accountable,1,2,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for accountability international level; retained after checking for contextual equivalence and excluding systematic noise.,Accountability in International Governance and the 2030 Development Agenda.pdf,5,Unspecified,"he relevance given to this issue in the government structures of donor countries. Furthermore, since allocating public sector resources and **making governments accountable** for fulﬁlling or not their internat ... ional commitments are essential functions of parliaments, it is essential to have them strongly involved in the international accountability exercises in all countries. As drivers of social accountability, civi"
TH066,Multilateral Environmental Treaties,mandatory frequency,5.908349567559437,pilot_logodds_distinctive_ngram,mandatory frequency,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for multilateral environmental treaties; retained after checking for contextual equivalence and excluding systematic noise.,Epistemic Communities_Constructivism_and International Environmental Politics.pdf,296,Unspecified,to keep TABLE 13.3 Monitoring provisions in multilateral environmental treaties What is monitored (n of treaties) Who does it Voluntary or **mandatory Frequency** Environmental quality (48) Governments (69%) G ... overnments must provide to IOs (4%) IOs (8%) Unspecified (19%) 81% mandatory 19% voluntary Annually 17% Biannually 19% Triannually 2% Unspecified 62% Source: calculated from Kiss 1983 and Rummel-Bulska and Osaf
TH040,Coordination Capacity,research networks,5.906490040043776,pilot_logodds_distinctive_ngram,research networks,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for coordination capacity; retained after checking for contextual equivalence and excluding systematic noise.,Critical Choices_The United Nations_Networks and the Future of Global Governance.pdf,104,Unspecified,"or broad-based inclusion are compelling, there may be times when widespread participation in a network is not necessary. Certain scientific **research networks**, for example, seek to keep their work as focused ... and objective as possible by limiting the involvement of nonscientists. GGIAR has received funding from a wide range of sources and welcomes a broad group of stakeholders, but one of the pillars of its structu"
TH073,Society Participation Engagement,better integrate,5.850654998783244,pilot_logodds_distinctive_ngram,better integrate,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for society participation engagement; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,107,Introduction,"l conference (notably, Stockholm in 1972 to Rio in 1992, and Johannesburg in 2002) has refined the definition of sustainable development to **better integrate** environmental issues with the poverty alleviation ... , good governance and economic justice agendas. At the vanguard are calls for governments to recognize the fundamental linkage between human rights and sustainable development. The reality on the ground, howeve"
TH019,Collaboration,adaptation mainstreaming,5.820525341447323,pilot_logodds_distinctive_ngram,adaptation mainstreaming,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for collaboration; retained after checking for contextual equivalence and excluding systematic noise.,Global adaptation governance_how intergovernmental organizations mainstream climate change adaptation.pdf,2,Introduction,"local issue and mainstreaming in IGOs remains poorly understood. In this article, we develop and test an innovative framework for examining **adaptation mainstreaming** practices in IGOs. Using quantitative and ... qualitative data derived from extensive ﬁeldwork conducted between 2017 and 2020, we examine mainstreaming practices in a large number of IGOs and arrive at two key ﬁndings. First, adaptation has been mainstre"
TH071,Environmental Policy Integration,better integrating,5.805641003077602,pilot_logodds_distinctive_ngram,better integrating,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for environmental policy integration; retained after checking for contextual equivalence and excluding systematic noise.,Environmental policy integration and the architecture of global environmental governance.pdf,6,Unspecified,"ntergovernmental environmental institutions? Will a new agency improve the cognitive, normative, and executive inﬂuence of the UN system by **better integrating** existing actors with an environmental mandate? ... External policy integration Will a new agency improve the integration of intergovernmental environmental institutions with non-environmental institutions? Will a new agency improve the cognitive, normative, and"
TH013,Global Cooperation,quo governance,5.7454407381831825,pilot_logodds_distinctive_ngram,quo governance,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for global cooperation; retained after checking for contextual equivalence and excluding systematic noise.,Befogged vision- International environmental governance a decade after Rio.pdf,62,Unspecified,"ution from forest fires in the 281 Two commentators have noted that nations have four choices: (1) ""[d]o nothing,"" (2) ""[r]efine the status **quo governance** structure,"" (3) ""[1launch a new Global Environment ... al Organization,"" or (4) ""[d]evelop a new governance approach: a Global Environmental Mechanisms."" Daniel C. Esty & Maria H. Ivanova, The Road Ahead: Conclusions and Action Agenda, at 2, in GLOBAL ENVIRONMENTAL"
TH013,Global Cooperation,help inform,5.7454407381831825,pilot_logodds_distinctive_ngram,help inform,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for global cooperation; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,56,Unspecified,d. The Secretariat is required to produce a summary report on partnerships at the end of each Review Year. These considerations will aim to **help inform** policy decisions during the following session. This process will hopefully facilitate more
TH013,Global Cooperation,help implement,5.7454407381831825,pilot_logodds_distinctive_ngram,help implement,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for global cooperation; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,103,Results,"86 Governance for Sustainable Development Is it legal? • Carbon debt: industrialized countries are setting up carbon trading regimes to **help implement** the Kyoto Protocol. However, you cannot trade what you do not own. Consequently, before there is an agreed global basis for allocating emissions entitlements, any emissions trading is effectively trading in stolen goods. • HIPC debt: the Group of 8 industrialized c"
TH013,Global Cooperation,building national capacity,5.7454407381831825,pilot_logodds_distinctive_ngram,building national capacity,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for global cooperation; retained after checking for contextual equivalence and excluding systematic noise.,Epistemic Communities_Constructivism_and International Environmental Politics.pdf,178,Unspecified,"onal institutions can help build more comprehensive regimes and encourage compliance by providing a venue for international cooperation, by **building national capacity**, and by building political will. In par ... ticular this means providing politically tractable instruments to groups within countries who are interested in sustainable development and marine protection, and building stable political Downloaded by [Univer"
TH069,International Environmental Treaty,actors intergovernmental,5.704171204947787,pilot_logodds_distinctive_ngram,actors intergovernmental,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for international environmental treaty; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,6,Unspecified,Intergovernmental Treaty Secretariats as Public Nonstate **Actors Intergovernmental** treaty secretariats are one speciªc type of international organization. Steinar Andresen and Jon Birger Skjaerseth have usefully deªned such secretariats as “international organization[s] established by the relevant parties to assist them in fulªlling the goals of the treaty” and emphasized that they “can be conceived of as actors w
TH050,Institutional Arrangements Environmental,regime established,5.6623507335950745,pilot_logodds_distinctive_ngram,regime established,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutional arrangements environmental; retained after checking for contextual equivalence and excluding systematic noise.,Autonomous Institutional Arrangements in Multilateral Environmental Agreements_ A Little-Noticed Phenomenon in International Law.pdf,2,Unspecified,"ish a common pattern of institutional arrangements. The purpose of these arrangements is to develop the normative content of the regulatory **regime established** by each agreement' and to supervise the states ... parties' implementation of and compliance with that regime. These institutional arrangements usually comprise a conference or meeting of the parties (COP, MOP) with decision-making powers, a secretariat, and on"
TH046,Multistakeholder,accountability exercised,5.661115284905913,pilot_logodds_distinctive_ngram,accountability exercised,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for multistakeholder; retained after checking for contextual equivalence and excluding systematic noise.,Accountability in International Governance and the 2030 Development Agenda.pdf,5,Unspecified,"of social accountability, civil society organizations should also be very active. To all these mechanisms, we should add the active social **accountability exercised** by multiple civil society organizations a ... t the international level, which is in fact the only modality that is strictly similar to national accountability. Social accountability remains mainly a ‘spotlight’ that seeks to provide independent informatio"
TH067,New Institutionalism Organizational,rediscovering institutions,5.588042746005566,pilot_logodds_distinctive_ngram,rediscovering institutions,3,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for new institutionalism organizational; retained after checking for contextual equivalence and excluding systematic noise.,Does bureaucracy really matter&#x3f; The authority of intergovernmental treaty secretariats in global environmental politics.pdf,26,Introduction,"national Institutions at Work, edited by Paul A. Taylor and A.J.R. Groom, 39–49. London: Pinter. March, James G., and Johan P. Olsen. 1989. **Rediscovering Institutions**. The Organizational Basics of Politics. New York, NY: Free Press. _______. 1996. Institutional Perspectives on Political Institutions. Governance: An International Journal of Policy and Administration 9 (3): 247–264. McCormick, John. 1989. The Globa"
TH039,Principles Norms Rules,law developed,5.585063627461538,pilot_logodds_distinctive_ngram,law developed,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for principles norms rules; retained after checking for contextual equivalence and excluding systematic noise.,Autonomous Institutional Arrangements in Multilateral Environmental Agreements_ A Little-Noticed Phenomenon in International Law.pdf,38,Unspecified,"t in determining the legal status and powers of treaty-based bodies that differ from ALAs, caution is advised in applying in toto bodies of **law developed** for other purposes, such as international institutio ... nal law. Diversity in treaty cooperation seems to require diversity in legal response. Such a treaty-based institutional framework may be regarded as an aspect of a more general development in international law"
TH006,Resilience,adaptation policies,5.575330985642535,pilot_logodds_distinctive_ngram,adaptation policies,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for resilience; retained after checking for contextual equivalence and excluding systematic noise.,Global adaptation governance_how intergovernmental organizations mainstream climate change adaptation.pdf,4,Unspecified,"ciﬁc practices, such as developing indicators for climate screening of all projects or programs of an organization, or the use of dedicated **adaptation policies** (cf. Runhaar et al., 2018). To advance resear ... ch on global adaptation mainstreaming, this section develops a framework for studying adaptation mainstreaming in the procedures and outputs of IGOs, enabling a descriptive analysis of adaptation mainstreaming."
TH006,Resilience,transnational public private,5.575330985642535,pilot_logodds_distinctive_ngram,transnational public private,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for resilience; retained after checking for contextual equivalence and excluding systematic noise.,Engaging the Public and the Private in Global Sustainability Governance.pdf,19,Results,"ent-work/developing-climate-changeresilience/asian-cities-climate-change-resilience 19 Marco Schäferhoff, Sabine Campe & Christopher Kaan, ‘**Transnational public-private** partnerships in international relatio ... ns: making sense of concepts, research frameworks, and results’, International Studies Review 11(3), 2009, pp. 451-474, at 452-53 20 Liliana Andonova & Marc Levy, ‘Franchising global governance: making sense of"
TH006,Resilience,multilateral adaptation,5.575330985642535,pilot_logodds_distinctive_ngram,multilateral adaptation,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for resilience; retained after checking for contextual equivalence and excluding systematic noise.,Global adaptation governance_how intergovernmental organizations mainstream climate change adaptation.pdf,11,Results,"tation, probably due the reluctance among member states to support mainstreaming adaptation in the organization. Indeed, access to external **multilateral adaptation** funding, rather than internal budget alloc ... ation, is a central factor explaining how FAO has been able to turn adaptation into a top priority since 2017 (Interview 36). Turning to the area of development, UNDP has advanced adaptation mainstreaming at th"
TH006,Resilience,adaptive capacity,5.575330985642535,pilot_logodds_distinctive_ngram,adaptive capacity,2,2,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for resilience; retained after checking for contextual equivalence and excluding systematic noise.,Epistemic Communities_Constructivism_and International Environmental Politics.pdf,63,Unspecified,"he other hand, technological optimists such as Julian Simon and Herman Kahn refer to such projections as mere “globaloney,” pointing to the **adaptive capacity** of modern societies (Simon and Kahn 1984). In th ... e middle lie the projections by international diplomats and civil servants. A less apocalyptic prediction is offered by Maurice Strong: … the prospect of slow but probably accelerating slide into chaos due to s"
TH031,Coordination Capacity Building,public awareness,5.569869228296351,pilot_logodds_distinctive_ngram,public awareness,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for coordination capacity building; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,84,Results,"nd local entities is critical. Knowledge, awareness and political will regarding international issues and global concerns change over time. **Public awareness** and political decisions move issues from the fri ... nges to central stage, while advances in technology create new possibilities and the results of scientific research change our understanding of global phenomena. Thus, a flexible, agile, multilayered governance"
TH021,Conflict Resolution,franchising global governance,5.525046542494653,pilot_logodds_distinctive_ngram,franchising global governance,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for conflict resolution; retained after checking for contextual equivalence and excluding systematic noise.,Engaging the Public and the Private in Global Sustainability Governance.pdf,19,Results,"epts, research frameworks, and results’, International Studies Review 11(3), 2009, pp. 451-474, at 452-53 20 Liliana Andonova & Marc Levy, ‘**Franchising global governance**: making sense of the Johannesburg Ty ... pe II partnerships’, Yearbook of International Cooperation on Environment and Development (London: Earthscan Publishing, 2003) 21 http://webapps01.unorg/dsd/partnerships/public/welcome.do. Over 80% include gove"
TH002,Norms,ingo networks,5.513840221760001,pilot_logodds_distinctive_ngram,ingo networks,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for norms; retained after checking for contextual equivalence and excluding systematic noise.,From norms to programs_The United Nations Global Compact and global governance_ Berliner2012.pdf,1,Introduction,"gn.We explore how this tension affects the diffusion of the Compact across countries, which vary in their levels of embeddedness in IGO and **INGO networks**. Our ﬁndings suggest that embeddedness in IGO networ ... ks encourages adoption, while embeddedness in INGO networks discourages it. Our analysis provides important lessons for sponsors of voluntary governance mechanisms. Widespread support for a norm does not automa"
TH049,Norms Rules,widely shared norm,5.50192099064183,pilot_logodds_distinctive_ngram,widely shared norm,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for norms rules; retained after checking for contextual equivalence and excluding systematic noise.,From norms to programs_The United Nations Global Compact and global governance_ Berliner2012.pdf,1,Introduction,"l Science, University of Washington, Seattle, WA, USA Abstract Norms shape policy when they get translated into concrete programs.What if a **widely shared norm** gets translated into a weak program? How might ... this inﬂuence the program’s legitimacy? We examine these issues in the context of the United Nations Global Compact, a voluntary program that embodies the widely shared norm of corporate responsibility. While b"
TH049,Norms Rules,shared norm,5.50192099064183,pilot_logodds_distinctive_ngram,shared norm,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for norms rules; retained after checking for contextual equivalence and excluding systematic noise.,Epistemic Communities_Constructivism_and International Environmental Politics.pdf,109,Unspecified,"m of informal sanctions” and demonstrate “one of the interesting instances where a group of people is held together by a common purpose and **shared norms** without the need of reinforcement by familial, ecolog ... ical, or political ties” (Ben-David 1984). The solidarity of epistemic community members derives not only from their shared interests, which are based on cosmopolitan beliefs of promoting collective betterment,"
TH019,Collaboration,adaptation projects,5.475889174882097,pilot_logodds_distinctive_ngram,adaptation projects,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for collaboration; retained after checking for contextual equivalence and excluding systematic noise.,Global adaptation governance_how intergovernmental organizations mainstream climate change adaptation.pdf,11,Results,"o include climate change. UNDP engages in collaboration and partnerships with IGOs in other sectors such as health in the implementation of **adaptation projects**. Rather than mainstreaming adaptation across p ... rojects and programs of UNDP, the organization has adopted a dedicated approach to implement speciﬁc adaptation projects, as the head of climate adaptation explained (Interview 35). Over the years, UNDP’s adapt"
TH019,Collaboration,adaptation integration,5.475889174882097,pilot_logodds_distinctive_ngram,adaptation integration,1,2,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for collaboration; retained after checking for contextual equivalence and excluding systematic noise.,Global adaptation governance_how intergovernmental organizations mainstream climate change adaptation.pdf,4,Unspecified,"analysed the contested relationships that often dovetail with climate integration in domestic sectoral policies (Van Asselt et al., 2015). **Adaptation integration** is also highly contested within global adap ... tation governance, and the ambiguity of the adaptation term further fuels its strategic usage (Hall, 2017). Framing is often strategic, as, for instance, when IGOs seek to depoliticize their engagement with cli"
TH019,Collaboration,integrate adaptation,5.475889174882097,pilot_logodds_distinctive_ngram,integrate adaptation,1,2,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for collaboration; retained after checking for contextual equivalence and excluding systematic noise.,Global adaptation governance_how intergovernmental organizations mainstream climate change adaptation.pdf,3,Results,"extensive ﬁeldwork. This ﬁeldwork includes a survey of nearly 300 policy experts, conducted to determine the ways and extent to which IGOs **integrate adaptation** in ten issue areas: development; development ... banking; disaster risk reduction (DRR); energy; food; health; humanitarian assistance; migration; regional multi-issue; and security. To contextualize our ﬁndings, we rely on 45 semi-structured and 44 standardi"
TH059,Institutional Perspectives Political,governance entails,5.447818828607172,pilot_logodds_distinctive_ngram,governance entails,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutional perspectives political; retained after checking for contextual equivalence and excluding systematic noise.,Epistemic Communities_Constructivism_and International Environmental Politics.pdf,149,Discussion,"2). The architectonics of international environmental governance The current governance system can be described in constitutionalist terms. **Governance entails** a set of commitments which command obedience (r ... ights and responsibilities, conventions, principles and norms), actual rules and procedures by which these commitments are to be realized, a set of authoritative actors who may participate in decision making (r"
TH059,Institutional Perspectives Political,coherent governance,5.447818828607172,pilot_logodds_distinctive_ngram,coherent governance,1,2,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutional perspectives political; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,63,Unspecified,"ustainable future. . . In fact, dealing with Planet Earth is a collective and largely uncoordinated affair’ (WRI et al, 2003). The need for **coherent governance** arrangements transpired in the call for sustainable development governance at the World Summit on Sustainable Development (WSSD) in 2002. The term denotes the institutional framework"
TH028,Institutional Strengthening Capacity,horizontal coordination,5.446588728039131,pilot_logodds_distinctive_ngram,horizontal coordination,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutional strengthening capacity; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,32,Unspecified,"nerships; institutional strengthening and capacity-building; integrated management and ecosystem approach; legal and regulatory frameworks; **horizontal coordination** and cooperation; vertical coherence; and g ... ood governance. Broad outcomes What actually happened at the summit? Over 20,000 people attended the global meeting, including 10,000 government delegates, 8000 representatives from the major groups1, 2000 from"
TH028,Institutional Strengthening Capacity,implement sustainable development,5.446094835196831,pilot_logodds_distinctive_ngram,implement sustainable development,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutional strengthening capacity; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,28,Unspecified,"of participation from global to local spheres, the chapter is unwavering in the view that participation is an essential tool to promote and **implement sustainable development** action across all spheres of gov ... ernance. In Part 2 of the book we look at governance and sustainability through the ‘lens’ of five thematic issues: water, energy, health, food and agriculture, and biodiversity. These five issues were identifi"
TH028,Institutional Strengthening Capacity,governance recommendations,5.446094835196831,pilot_logodds_distinctive_ngram,governance recommendations,1,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for institutional strengthening capacity; retained after checking for contextual equivalence and excluding systematic noise., Environment- The Path of Global Environmental Governance – Form and Function in Historical Perspective.pdf,7,Unspecified,s highlighted in WEHAB papers by specific theme 98 Boxes 1.1 Conclusions from the original Governance for a Sustainable Future report 5 1.2 **Governance recommendations** 7 2.1 Structure of the Johannesburg Pla ... n of Implementation 16 2.2 Examples of commitments at the World Summit on Sustainable Development (WSSD) 21 2.3 Key Johannesburg Plan of Implementation references to partnerships 24 2.4 Johannesburg Plan of Imp
TH037,Learning Agents Emerging,legitimized,5.401761099732286,pilot_logodds_distinctive_ngram,legitimized,2,1,False,False,True,VALIDATED,Reviewer vetting note (draft): term appears in governance-relevant contexts in the pilot set and functions as a lexical variant for learning agents emerging; retained after checking for contextual equivalence and excluding systematic noise.,Engaging the Public and the Private in Global Sustainability Governance.pdf,6,Unspecified,"g contributions to sustainability.32 Neo-Gramscian scholars see PSG as part of a broad ideological shift towards the market, structured and **legitimized** by a “global framework of domination” led by elites from business, civil society and public authorities.33 To others, however, PSG does not reflect an increase in business power, but merely a longstanding level of power manifested in new forms.34"
